,subject.id,subject.mass,cage,Date.Time,vo2,vco2,ee,rer,feed,feed.acc,drink,drink.acc,xytot,xyamb,wheel,wheel.acc,pedmeter,allmeter,body.temp,hour,day,exp.hour,exp.day
1,C1-3_1,25,112,2017-07-17 16:23:54,124.275,88.076625,0.6,0.708435,0,0,NA,NA,8324,4466,NA,NA,NA,NA,0,2017-07-17 16:00:00,2017-07-17,1,0
2,C1-3_1,25,112,2017-07-17 16:51:54,114.775,81.28575,0.5,0.708435,0.02,0.02,NA,NA,6509,3158,NA,NA,NA,NA,0,2017-07-17 16:00:00,2017-07-17,1,0
3,C1-3_1,25,112,2017-07-17 17:19:54,108.65,78.453375,0.5,0.722085,0.02,0.04,NA,NA,6091,2616,NA,NA,NA,NA,0,2017-07-17 17:00:00,2017-07-17,2,0
4,C1-3_1,25,112,2017-07-17 17:47:54,83.475,54.907125,0.4,0.65793,0.01,0.05,NA,NA,4699,1049,NA,NA,NA,NA,0,2017-07-17 17:00:00,2017-07-17,2,0
5,C1-3_1,25,112,2017-07-17 18:15:54,120.925,86.33625,0.5,0.713895,0,0.05,NA,NA,4866,1874,NA,NA,NA,NA,0,2017-07-17 18:00:00,2017-07-17,3,0
6,C1-3_1,25,112,2017-07-17 18:43:54,96.65,67.942875,0.4,0.702975,0.06,0.11,NA,NA,6088,3090,NA,NA,NA,NA,0,2017-07-17 18:00:00,2017-07-17,3,0
7,C1-3_1,25,112,2017-07-17 19:11:54,122.075,91.352625,0.5,0.74802,0.05,0.16,NA,NA,8774,3366,NA,NA,NA,NA,0,2017-07-17 19:00:00,2017-07-17,4,0
8,C1-3_1,25,112,2017-07-17 19:39:54,124.45,90.874875,0.6,0.730275,0.03,0.19,NA,NA,6116,2953,NA,NA,NA,NA,0,2017-07-17 19:00:00,2017-07-17,4,0
9,C1-3_1,25,112,2017-07-17 20:07:54,131.275,98.177625,0.6,0.74802,0.12,0.31,NA,NA,5892,2796,NA,NA,NA,NA,0,2017-07-17 20:00:00,2017-07-17,5,0
10,C1-3_1,25,112,2017-07-17 20:35:54,118.7,90.70425,0.5,0.7644,0.07,0.38,NA,NA,5507,2453,NA,NA,NA,NA,0,2017-07-17 20:00:00,2017-07-17,5,0
11,C1-3_1,25,112,2017-07-17 21:03:54,121.275,94.8675,0.5,0.782145,0.15,0.53,NA,NA,5775,2627,NA,NA,NA,NA,0,2017-07-17 21:00:00,2017-07-17,6,0
12,C1-3_1,25,112,2017-07-17 21:31:54,126.2,101.07825,0.6,0.801255,0.11,0.64,NA,NA,5471,2557,NA,NA,NA,NA,0,2017-07-17 21:00:00,2017-07-17,6,0
13,C1-3_1,25,112,2017-07-17 21:59:54,125.075,99.645,0.6,0.79716,0.1,0.74,NA,NA,8573,4688,NA,NA,NA,NA,0,2017-07-17 21:00:00,2017-07-17,6,0
14,C1-3_1,25,112,2017-07-17 22:27:54,118.625,96.2325,0.5,0.81081,0.15,0.89,NA,NA,5270,2592,NA,NA,NA,NA,0,2017-07-17 22:00:00,2017-07-17,7,0
15,C1-3_1,25,112,2017-07-17 22:55:54,121.425,102.44325,0.6,0.84357,0.09,0.98,NA,NA,6941,3299,NA,NA,NA,NA,0,2017-07-17 22:00:00,2017-07-17,7,0
16,C1-3_1,25,112,2017-07-17 23:23:54,119.25,101.48775,0.5,0.850395,0.19,1.17,NA,NA,5966,3079,NA,NA,NA,NA,0,2017-07-17 23:00:00,2017-07-17,8,0
17,C1-3_1,25,112,2017-07-17 23:51:54,123.125,103.3305,0.6,0.839475,0.03,1.2,NA,NA,7081,3286,NA,NA,NA,NA,0,2017-07-17 23:00:00,2017-07-17,8,0
18,C1-3_1,25,112,2017-07-18 00:19:54,114.775,99.542625,0.5,0.866775,0.17,1.37,NA,NA,4503,1862,NA,NA,NA,NA,0,2017-07-18 00:00:00,2017-07-18,9,1
19,C1-3_1,25,112,2017-07-18 00:47:54,118.875,100.429875,0.5,0.844935,0.15,1.52,NA,NA,5960,2845,NA,NA,NA,NA,0,2017-07-18 00:00:00,2017-07-18,9,1
