,group1,group2,group_names,colors,xrange,outliers,errorbars,mri,light,exc,Total.Mass,Lean.Mass,Fat.Mass,id
1,D1 66_2,A 01_2,WT,#595757,15,Yes,Yes,Yes,6,161,19.5,17.08,2.75,F1 38_2
2,E1_2,A 02_2,KO,#A41034,134,NA,NA,NA,18,161,21.2,21.58,3.35,A1 05_2
3,C1-2_1,B2-2_1,NA,NA,NA,NA,NA,NA,NA,161,24,15.62,2.16,D2_2
4,F1 40_2,C3_1,NA,NA,NA,NA,NA,NA,NA,161,21.9,17.15,1.96,F1 36_2
5,F2_2,C5_1,NA,NA,NA,NA,NA,NA,NA,161,28.3,23.19,4.19,D2 60_2
6,F1 37_2,D2 60_2,NA,NA,NA,NA,NA,NA,NA,161,22.7,17.56,2.46,F1 40_2
7,D2 62_2,E2 53_2,NA,NA,NA,NA,NA,NA,NA,161,23.5,20.23,3.32,A 02_2
8,B1-2_1,E2 54_2,NA,NA,NA,NA,NA,NA,NA,161,28.5,22.82,4.99,E2 53_2
9,F1 36_2,A1 05_2,NA,NA,NA,NA,NA,NA,NA,161,30.9,22.42,6.11,E2 54_2
10,B1-1_1,D3_2,NA,NA,NA,NA,NA,NA,NA,161,27,20.39,5.2,E2_2
11,A 06_2,C1-3_1,NA,NA,NA,NA,NA,NA,NA,161,27.6,21.27,3.9,E2 52_2
12,F2 51_2,D1 65_2,NA,NA,NA,NA,NA,NA,NA,161,24.1,20.03,3.23,F2_2
13,A_2,E2 52_2,NA,NA,NA,NA,NA,NA,NA,161,26.6,18.5,3.67,F2 51_2
14,D2_2,F1 38_2,NA,NA,NA,NA,NA,NA,NA,161,27.5,18.83,2.88,E1_2
15,F1 39_2,B2-1_1,NA,NA,NA,NA,NA,NA,NA,161,23.8,19.68,3.55,F1 39_2
16,C1-1_1,E2_2,NA,NA,NA,NA,NA,NA,NA,161,21.3,17.39,2.86,A1 04_2
17,A1 04_2,B1-3_1,NA,NA,NA,NA,NA,NA,NA,161,25.5,17.76,2.26,D2 62_2
18,B2-3_1,C4_1,NA,NA,NA,NA,NA,NA,NA,161,23,17.2,2.47,F1 37_2
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,22.9,19.02,3.79,D1 66_2
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,25.6,21.51,4.11,D1 65_2
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,22.7,19.92,3.11,A_2
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,22.5,19.09,3.08,A 06_2
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,23.3,20.53,3.09,D3_2
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,24.2,20.75,3.38,A 01_2
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,22.8,18.95,3.15,B1-1_1
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,20.2,14.05,2.12,B1-2_1
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,22.7,15.54,3.39,B1-3_1
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,24.7,20.42,3.32,B2-1_1
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,23.9,19.51,2.12,B2-2_1
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,23.3,16.23,2.5,B2-3_1
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,23.6,17.65,3.91,C1-1_1
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.3,18.52,3.58,C1-2_1
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,23.2,19.49,3.18,C1-3_1
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,23.7,20.8,3.24,C3_1
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,24,20.36,3.18,C4_1
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,26.5,23.35,3.7,C5_1
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
