"","group1","group2","group_names","colors","xrange","outliers","errorbars","mri","light","exc","Total.Mass","Lean.Mass","Fat.Mass","id"
"1","a93","a92","WT","#999999","143","Yes","Yes","Yes","7","162","37.6","22.04","15.56","a98"
"2","d02","a94"," KO","#0079EB","153",NA,NA,NA,"19","162","39.85","22.09","17.76","b06"
"3","d25","a90",NA,NA,NA,NA,NA,NA,NA,"162","38.07","22.29","15.78","c39"
"4","c31","a98",NA,NA,NA,NA,NA,NA,NA,"162","42.08","23.1","18.98","d25"
"5","b37","b29",NA,NA,NA,NA,NA,NA,NA,"162","35.62","20.32","15.3","a90"
"6","a96","b30",NA,NA,NA,NA,NA,NA,NA,"162","40.36","22.35","18.01","b27"
"7","d03","b28",NA,NA,NA,NA,NA,NA,NA,"162","35.01","23.38","11.63","c37"
"8","c37","c20",NA,NA,NA,NA,NA,NA,NA,"162","42.59","23.18","19.41","d13"
"9","c41","c19",NA,NA,NA,NA,NA,NA,NA,"162","29.97","20.43","9.54","a96"
"10","b06","d01",NA,NA,NA,NA,NA,NA,NA,"162","41.95","22.86","19.09","b10"
"11","b27","d13",NA,NA,NA,NA,NA,NA,NA,"162","35.95","20.78","15.17","c34"
"12","b10","d15",NA,NA,NA,NA,NA,NA,NA,"162","43.3","24","19.3","d15"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","31.93","18.82","13.11","a94"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","41.48","24.1","17.38","b30"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","36.34","20.86","15.48","c41"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","44.55","24.83","19.72","d02"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","35","20.79","14.21","a93"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","39.7","22.76","16.94","b29"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","34.17","19.38","14.79","c19"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","36.58","21.87","14.71","d03"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","36.31","20.23","16.08","a92"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","39.21","23.77","15.44","b28"
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","35.35","19.73","15.62","c20"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162","42.81","23.27","19.54","d01"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
