,group1,group2,group3,group_names,colors,xrange,outliers,errorbars,mri,light,exc,Total.Mass,Lean.Mass,Fat.Mass,id
1,5607h,5605wt,5606ko,WT,#B3ACAC,132,Yes,Yes,Yes,6,238,27.3,22.96,3.85,5605wt
2,5608h,5618wt,5613ko,HET,#3FAAF2,174,NA,NA,NA,18,238,29.8,23.63,4.95,5618wt
3,5619h,5621wt,5628ko,KO,#0B45B3,NA,NA,NA,NA,NA,238,26.4,20.78,4.26,5621wt
4,5629h,5633wt,5672ko,NA,NA,NA,NA,NA,NA,NA,238,28.5,23.11,4.38,5633wt
5,5636h,5674wt,5678ko,NA,NA,NA,NA,NA,NA,NA,238,27.2,22.08,4.3,5674wt
6,5670h,5680wt,5679ko,NA,NA,NA,NA,NA,NA,NA,238,25.6,21.34,3.5,5680wt
7,5671h,5684wt,5681ko,NA,NA,NA,NA,NA,NA,NA,238,29.1,23.4,4.85,5684wt
8,5686h,5685wt,5687ko,NA,NA,NA,NA,NA,NA,NA,238,26.4,21.49,3.45,5685wt
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.9,23.22,3.93,5607h
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,22.7,18.57,3.69,5608h
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,30.3,23.43,5.97,5619h
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,21,17.16,2.16,5629h
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,26.3,21.4,3.91,5636h
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,28.5,23.18,3.7,5670h
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,22.3,18.83,2.38,5671h
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.7,22.37,4.03,5686h
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,26.2,20.67,5.18,5606ko
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,21.1,17.53,2.38,5613ko
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.4,22.59,3.93,5628ko
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,29.2,23.98,4.33,5672ko
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,24.5,19.74,3.42,5678ko
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.8,22.95,3.63,5679ko
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.4,21.53,4.71,5681ko
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,25.6,20.14,3.94,5687ko
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,empty cage,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
