"","group1","group2","group3","group_names","colors","xrange","outliers","errorbars","mri","light","exc","Total.Mass","Lean.Mass","Fat.Mass","id"
"1","WT1","KO1","2KO1","WT","#999999","130","Yes","Yes","Yes","6","169","28.75","24.55","4.55","WT1"
"2","WT2","KO2","2KO2"," KO1","#E69F00","150",NA,NA,NA,"18","169","28.89","24.34","9.26","WT2"
"3","WT3","KO3","2KO3"," KO2","#56B4E9",NA,NA,NA,NA,NA,"169","33.59","24.33","7.5","WT3"
"4","WT4","KO4","2KO4",NA,NA,NA,NA,NA,NA,NA,"169","29.94","22.44","6.55","WT4"
"5","WT5","KO5","2KO5",NA,NA,NA,NA,NA,NA,NA,"169","28.95","22.4","6.8","WT5"
"6","WT6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","29.02","22.22","4.02","WT6"
"7","WT7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","28.26","24.24","4.68","WT7"
"8","WT8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","27.73","23.05","3.94","WT8"
"9","WT9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","29.6","25.66","4.56","WT9"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","26.62","22.06","5.16","KO1"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","32.5","24.93","3.86","KO2"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","31.8","25.65","3.34","KO3"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","31.4","25.11","3.68","KO4"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","30.3","25.11","5.28","KO5"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","32.2","24.56","4.12","2KO1"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","27.8","22.7","3.91","2KO2"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","27.6","22.24","6.22","2KO3"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","31.5","24.32","4.96","2KO4"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169","28.6","23.27","4.2","2KO5"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
