"","subject.id","subject.mass","cage","Date.Time","vo2","vco2","ee","rer","feed","feed.acc","drink","drink.acc","xytot","xyamb","wheel","wheel.acc","pedmeter","allmeter","body.temp","hour","day","exp.hour","exp.day"
"1","d01",1,"0112",2017-04-28 17:09:46,0.009,0.207,0,22.433,0,0,NA,NA,0,0,NA,NA,NA,NA,0,2017-04-28 17:00:00,2017-04-28,1,0
"2","d01",1,"0112",2017-04-28 17:37:46,-0.027,0.103,0,-3.875,0,0,NA,NA,0,0,NA,NA,NA,NA,0,2017-04-28 17:00:00,2017-04-28,1,0
"3","d01",1,"0112",2017-04-28 18:05:46,0.85,0.078,0,0.092,0,0,NA,NA,0,0,NA,NA,NA,NA,0,2017-04-28 18:00:00,2017-04-28,2,0
"4","d01",1,"0112",2017-04-28 18:33:46,149.139,118.202,0.7,0.793,0,0,NA,NA,4987,2884,NA,NA,NA,NA,0,2017-04-28 18:00:00,2017-04-28,2,0
"5","d01",1,"0112",2017-04-28 19:01:46,123.402,98.744,0.6,0.8,0.02,0.02,NA,NA,6913,3581,NA,NA,NA,NA,0,2017-04-28 19:00:00,2017-04-28,3,0
"6","d01",1,"0112",2017-04-28 19:29:46,153.114,121,0.7,0.79,0.06,0.08,NA,NA,4646,1881,NA,NA,NA,NA,0,2017-04-28 19:00:00,2017-04-28,3,0
"7","d01",1,"0112",2017-04-28 19:57:46,157.379,122.305,0.8,0.777,0.06,0.14,NA,NA,3898,1733,NA,NA,NA,NA,0,2017-04-28 19:00:00,2017-04-28,3,0
"8","d01",1,"0112",2017-04-28 20:25:46,166.555,134.183,0.8,0.806,0.19,0.33,NA,NA,6995,4095,NA,NA,NA,NA,0,2017-04-28 20:00:00,2017-04-28,4,0
"9","d01",1,"0112",2017-04-28 20:53:46,171.109,138.916,0.8,0.812,0.08,0.41,NA,NA,6222,3494,NA,NA,NA,NA,0,2017-04-28 20:00:00,2017-04-28,4,0
"10","d01",1,"0112",2017-04-28 21:21:46,158.017,129.353,0.8,0.819,0.12,0.53,NA,NA,6692,3697,NA,NA,NA,NA,0,2017-04-28 21:00:00,2017-04-28,5,0
"11","d01",1,"0112",2017-04-28 21:49:46,152.761,122.643,0.7,0.803,0.08,0.61,NA,NA,4091,1639,NA,NA,NA,NA,0,2017-04-28 21:00:00,2017-04-28,5,0
"12","d01",1,"0112",2017-04-28 22:17:46,126.633,98.771,0.6,0.78,-0.01,0.6,NA,NA,1777,325,NA,NA,NA,NA,0,2017-04-28 22:00:00,2017-04-28,6,0
"13","d01",1,"0112",2017-04-28 22:45:46,155.255,125.075,0.7,0.806,0.06,0.66,NA,NA,5983,3193,NA,NA,NA,NA,0,2017-04-28 22:00:00,2017-04-28,6,0
"14","d01",1,"0112",2017-04-28 23:13:46,135.727,106.639,0.6,0.786,0.15,0.81,NA,NA,2571,737,NA,NA,NA,NA,0,2017-04-28 23:00:00,2017-04-28,7,0
"15","d01",1,"0112",2017-04-28 23:41:46,133.919,106.562,0.6,0.796,0.05,0.86,NA,NA,1829,593,NA,NA,NA,NA,0,2017-04-28 23:00:00,2017-04-28,7,0
"16","d01",1,"0112",2017-04-29 00:09:46,142.092,114.278,0.7,0.804,0.11,0.97,NA,NA,2736,885,NA,NA,NA,NA,0,2017-04-29 00:00:00,2017-04-29,8,1
"17","d01",1,"0112",2017-04-29 00:37:46,150.88,124.076,0.7,0.822,0.06,1.03,NA,NA,2697,699,NA,NA,NA,NA,0,2017-04-29 00:00:00,2017-04-29,8,1
"18","d01",1,"0112",2017-04-29 01:05:46,135.568,107.158,0.6,0.79,0.08,1.11,NA,NA,2519,1206,NA,NA,NA,NA,0,2017-04-29 01:00:00,2017-04-29,9,1
"19","d01",1,"0112",2017-04-29 01:33:46,143.397,112.903,0.7,0.787,0.17,1.28,NA,NA,1810,349,NA,NA,NA,NA,0,2017-04-29 01:00:00,2017-04-29,9,1
"20","d01",1,"0112",2017-04-29 02:01:46,161.229,132.599,0.8,0.822,0.11,1.39,NA,NA,2238,834,NA,NA,NA,NA,0,2017-04-29 02:00:00,2017-04-29,10,1
"21","d01",1,"0112",2017-04-29 02:29:46,151.466,122,0.7,0.805,0.07,1.46,NA,NA,1539,260,NA,NA,NA,NA,0,2017-04-29 02:00:00,2017-04-29,10,1
"22","d01",1,"0112",2017-04-29 02:57:46,145.605,112.875,0.7,0.775,0,1.46,NA,NA,1869,258,NA,NA,NA,NA,0,2017-04-29 02:00:00,2017-04-29,10,1
"23","d01",1,"0112",2017-04-29 03:25:46,143.033,112.242,0.7,0.785,0.11,1.57,NA,NA,4551,2188,NA,NA,NA,NA,0,2017-04-29 03:00:00,2017-04-29,11,1
"24","d01",1,"0112",2017-04-29 03:53:46,143.362,111.562,0.7,0.778,0.04,1.61,NA,NA,1567,285,NA,NA,NA,NA,0,2017-04-29 03:00:00,2017-04-29,11,1
"25","d01",1,"0112",2017-04-29 04:21:46,149.872,118.947,0.7,0.794,0.08,1.69,NA,NA,944,104,NA,NA,NA,NA,0,2017-04-29 04:00:00,2017-04-29,12,1
"26","d01",1,"0112",2017-04-29 04:49:46,140.307,108.983,0.7,0.777,0.1,1.79,NA,NA,840,108,NA,NA,NA,NA,0,2017-04-29 04:00:00,2017-04-29,12,1
"27","d01",1,"0112",2017-04-29 05:17:46,153.289,124.351,0.7,0.811,0.03,1.82,NA,NA,1584,218,NA,NA,NA,NA,0,2017-04-29 05:00:00,2017-04-29,13,1
"28","d01",1,"0112",2017-04-29 05:45:46,154.081,121.26,0.7,0.787,0.11,1.93,NA,NA,5368,2774,NA,NA,NA,NA,0,2017-04-29 05:00:00,2017-04-29,13,1
"29","d01",1,"0112",2017-04-29 06:13:46,124.239,94.015,0.6,0.757,-0.01,1.92,NA,NA,2311,374,NA,NA,NA,NA,0,2017-04-29 06:00:00,2017-04-29,14,1
"30","d01",1,"0112",2017-04-29 06:41:46,128.264,98.725,0.6,0.77,0.06,1.98,NA,NA,699,19,NA,NA,NA,NA,0,2017-04-29 06:00:00,2017-04-29,14,1
"31","d01",1,"0112",2017-04-29 07:09:46,131.613,103.991,0.6,0.79,0.18,2.16,NA,NA,1089,33,NA,NA,NA,NA,0,2017-04-29 07:00:00,2017-04-29,15,1
"32","d01",1,"0112",2017-04-29 07:37:46,123.766,99.421,0.6,0.803,0,2.16,NA,NA,359,57,NA,NA,NA,NA,0,2017-04-29 07:00:00,2017-04-29,15,1
"33","d01",1,"0112",2017-04-29 08:05:46,130.916,108.965,0.6,0.832,0.05,2.21,NA,NA,1914,283,NA,NA,NA,NA,0,2017-04-29 08:00:00,2017-04-29,16,1
"34","d01",1,"0112",2017-04-29 08:33:46,135.99,104.181,0.6,0.766,0,2.21,NA,NA,1677,164,NA,NA,NA,NA,0,2017-04-29 08:00:00,2017-04-29,16,1
"35","d01",1,"0112",2017-04-29 09:01:46,113.488,86.451,0.5,0.762,0,2.21,NA,NA,519,14,NA,NA,NA,NA,0,2017-04-29 09:00:00,2017-04-29,17,1
"36","d01",1,"0112",2017-04-29 09:29:46,113.619,86.992,0.5,0.766,0.01,2.22,NA,NA,256,38,NA,NA,NA,NA,0,2017-04-29 09:00:00,2017-04-29,17,1
"37","d01",1,"0112",2017-04-29 09:57:46,138.382,113.807,0.7,0.822,0.07,2.29,NA,NA,2695,438,NA,NA,NA,NA,0,2017-04-29 09:00:00,2017-04-29,17,1
"38","d01",1,"0112",2017-04-29 10:25:46,114.69,89.292,0.5,0.779,0.02,2.31,NA,NA,399,16,NA,NA,NA,NA,0,2017-04-29 10:00:00,2017-04-29,18,1
"39","d01",1,"0112",2017-04-29 10:53:46,120.194,96.667,0.6,0.804,0.07,2.38,NA,NA,224,23,NA,NA,NA,NA,0,2017-04-29 10:00:00,2017-04-29,18,1
"40","d01",1,"0112",2017-04-29 11:21:46,113.42,89.385,0.5,0.788,0,2.38,NA,NA,158,31,NA,NA,NA,NA,0,2017-04-29 11:00:00,2017-04-29,19,1
"41","d01",1,"0112",2017-04-29 11:49:46,121.71,97.187,0.6,0.799,0.04,2.42,NA,NA,794,45,NA,NA,NA,NA,0,2017-04-29 11:00:00,2017-04-29,19,1
